date,open,high,low,close,volume,200 MA,50 MA
2020-04-24,10.4,10.5,9.9,10.31,66854629.0,10.31,16.176699999999997
2020-04-23,10.36,10.67,10.24,10.25,54598512.0,10.25,16.5685
2020-04-22,11.09,11.13,10.015,10.27,76320112.0,10.27,16.9389
2020-04-21,10.795,11.22,10.7,11.0,49882258.0,11.0,17.2865
2020-04-20,11.15,11.35,10.72,11.06,58984927.0,11.06,17.6313
2020-04-17,11.87,11.945,11.5,11.57,61279474.0,11.57,17.9819
2020-04-16,11.91,12.03,11.05,11.07,83626979.0,11.07,18.3291
2020-04-15,12.52,12.69,11.39,12.29,124719945.0,12.29,18.6265
2020-04-14,12.22,12.6,11.75,11.945,68039491.0,11.945,18.9244
2020-04-13,12.9,12.95,11.25,11.56,73385533.0,11.56,19.2476
2020-04-09,12.64,13.4,11.82,12.51,117592821.0,12.51,19.533400000000004
2020-04-08,10.91,11.4,10.5,11.33,82718687.0,11.33,19.8448
2020-04-07,11.07,12.2,10.05,10.22,138060974.0,10.22,20.1626
2020-04-06,9.72,9.94,9.11,9.5,94272306.0,9.5,20.5254
2020-04-03,10.34,10.49,9.09,9.39,87018883.0,9.39,20.913600000000006
2020-04-02,10.61,11.03,10.0,10.06,65534605.0,10.06,21.2588
2020-04-01,11.45,11.48,10.5,10.69,56854449.0,10.69,21.58900000000001
2020-03-31,12.9,12.96,12.1,12.19,44851435.0,12.19,21.9132
2020-03-30,13.2,13.22,11.81,12.25,50516755.0,12.25,22.2328
2020-03-27,14.98,15.22,13.91,14.04,50783456.0,14.04,22.50360000000001
2020-03-26,16.06,17.24,15.16,15.66,77627480.0,15.66,22.741000000000003
2020-03-25,16.69,16.99,14.31,15.39,93795094.0,15.39,22.981000000000005
2020-03-24,11.9565,14.81,11.5401,13.92,101553138.0,13.92,23.249
2020-03-23,10.9,11.36,10.01,10.25,56427277.0,10.25,23.603
2020-03-20,10.6526,12.0,10.3,10.38,62681779.0,10.38,23.9522
2020-03-19,11.6,12.16,10.01,10.29,71584495.0,10.29,24.2908
2020-03-18,14.24,14.28,10.17,11.65,78458779.0,11.65,24.6042
2020-03-17,15.785,18.49,14.79,15.58,58055816.0,15.58,24.8456
2020-03-16,12.4065,16.2,12.0,15.92,84916838.0,15.92,25.109
2020-03-13,15.3,15.6,13.12,14.31,58376115.0,14.31,25.3964
2020-03-12,14.05,15.75,13.33,13.45,53968488.0,13.45,25.6934
2020-03-11,16.31,16.49,15.52,16.26,43778178.0,16.26,25.937
2020-03-10,15.82,17.67,14.61,17.0,56972742.0,17.0,26.1904
2020-03-09,14.87,15.79,14.46,14.75,42558021.0,14.75,26.479
2020-03-06,15.02,17.12,14.8,15.97,54504970.0,15.97,26.7456
2020-03-05,17.54,17.65,15.98,16.04,44656806.0,16.04,27.0056
2020-03-04,18.36,18.55,17.3,18.53,44362085.0,18.53,27.206
2020-03-03,19.66,19.79,17.8,17.85,35402453.0,17.85,27.408999999999995
2020-03-02,19.05,19.06,17.51,18.86,38737996.0,18.86,27.5974
2020-02-28,19.8,20.35,18.77,19.05,37166398.0,19.05,27.774799999999995
2020-02-27,20.85,22.48,19.77,20.6,31897334.0,20.6,27.9124
2020-02-26,23.57,23.75,22.11,22.31,19631372.0,22.31,28.0206
2020-02-25,25.62,25.75,23.05,23.12,22296879.0,23.12,28.0954
2020-02-24,25.98,26.11,25.0,25.45,21713199.0,25.45,28.1264
2020-02-21,28.12,28.3,27.17,27.82,11256491.0,27.82,28.1198
2020-02-20,28.24,28.9,28.2024,28.51,10093423.0,28.51,28.1041
2020-02-19,28.84,28.88,28.31,28.33,8401025.0,28.33,28.0823
2020-02-18,29.04,29.345,28.49,28.63,10486462.0,28.63,28.0573
2020-02-14,30.01,30.27,29.14,29.2,5524788.0,29.2,28.0191
2020-02-13,30.03,30.4,29.73,30.09,9119433.0,30.09,27.9789
2020-02-12,30.0,30.78,29.99,30.47,9315375.0,30.47,27.9443
2020-02-11,29.06,29.94,28.97,29.84,8977738.0,29.84,27.9265
2020-02-10,28.19,28.81,27.98,28.79,15134344.0,28.79,27.9317
2020-02-07,28.06,28.55,27.78,28.38,6231754.0,28.38,27.9439
2020-02-06,29.26,29.4498,28.14,28.3,8335783.0,28.3,27.9515
