date,open,high,low,close,volume,200 MA,50 MA
2020-04-24,55.1,56.78,54.42,56.18,72518203.0,56.18,48.4036
2020-04-23,56.65,57.285,55.64,55.9,69662688.0,55.9,48.3616
2020-04-22,54.91,56.15,54.34,55.92,63164076.0,55.92,48.2884
2020-04-21,56.9,57.73,51.41,52.92,123906390.0,52.92,48.22459999999999
2020-04-20,55.98,58.63,55.85,56.97,72367258.0,56.97,48.07159999999999
2020-04-17,57.35,57.755,55.55,56.6,76908783.0,56.6,47.93639999999999
2020-04-16,55.96,58.08,55.63,56.95,103106456.0,56.95,47.78639999999999
2020-04-15,53.73,55.5699,53.41,54.99,83814033.0,54.99,47.647
2020-04-14,52.235,55.14,52.11,54.93,85306750.0,54.93,47.48840000000001
2020-04-13,48.47,51.07,48.23,50.94,64290112.0,50.94,47.44520000000001
2020-04-09,49.65,50.25,47.72,48.38,80357393.0,48.38,47.4278
2020-04-08,48.07,49.0,47.61,48.79,64930779.0,48.79,47.4626
2020-04-07,48.96,49.65,46.675,47.56,102098689.0,47.56,47.49660000000001
2020-04-06,44.3,47.58,44.06,47.52,82293964.0,47.52,47.5532
2020-04-03,44.3,44.8393,41.7,42.59,79334966.0,42.59,47.7356
2020-04-02,43.4,45.28,43.1,44.49,79024133.0,44.49,47.8744
2020-04-01,44.18,46.85,43.16,43.66,92083081.0,43.66,48.02219999999999
2020-03-31,47.942,48.53,45.16,45.48,83483749.0,45.48,48.1312
2020-03-30,47.24,48.46,46.66,47.86,68486602.0,47.86,48.1694
2020-03-27,46.32,47.975,45.9,46.58,74599218.0,46.58,48.2087
2020-03-26,45.78,47.5,45.4,47.5,73915608.0,47.5,48.2229
2020-03-25,46.79,47.875,44.425,44.63,93760389.0,44.63,48.30519999999999
2020-03-24,44.04,46.81,43.99,46.22,106794151.0,46.22,48.3441
2020-03-23,40.62,42.32,38.95,41.64,101704663.0,41.64,48.4907
2020-03-20,41.51,42.4825,39.58,39.61,106859502.0,39.61,48.6551
2020-03-19,39.56,41.7,37.69,39.82,88939024.0,39.82,48.8237
2020-03-18,39.54,41.95,36.75,39.12,106163124.0,39.12,49.0091
2020-03-17,40.19,42.88,38.3,41.88,92741881.0,41.88,49.1435
2020-03-16,39.08,43.37,38.51,38.71,84545868.0,38.71,49.3513
2020-03-13,42.2,43.91,39.6,43.9,86689681.0,43.9,49.3905
2020-03-12,42.0,42.5,39.0,39.01,107461521.0,39.01,49.5207
2020-03-11,44.19,45.97,43.8,45.7,102319010.0,45.7,49.5303
2020-03-10,45.41,45.44,43.1,45.38,76228247.0,45.38,49.5553
2020-03-09,43.03,46.34,42.51,43.27,80859774.0,43.27,49.62070000000001
2020-03-06,49.44,49.54,46.74,48.59,124590861.0,48.59,49.5581
2020-03-05,48.68,49.72,47.51,48.11,98302748.0,48.11,49.4789
2020-03-04,48.25,50.14,47.2101,50.11,93311779.0,50.11,49.3333
2020-03-03,49.03,50.2,45.67,46.75,141972288.0,46.75,49.2443
2020-03-02,47.42,47.68,44.66,47.46,102324726.0,47.46,49.1505
2020-02-28,41.355,46.15,41.04,45.48,100667707.0,45.48,49.08789999999999
2020-02-27,45.38,46.24,42.21,44.01,106416222.0,44.01,49.0307
2020-02-26,47.63,49.29,47.07,47.49,86897680.0,47.49,48.9327
2020-02-25,51.14,51.24,47.12,47.57,88699382.0,47.57,48.77070000000001
2020-02-24,48.175,50.275,47.49,49.12,86624116.0,49.12,48.57710000000001
2020-02-21,56.71,56.8,52.89,53.28,88553374.0,53.28,48.2901
2020-02-20,58.44,59.02,56.15,57.27,74203373.0,57.27,47.93729999999999
2020-02-19,57.99,59.27,57.51,58.9,58597294.0,58.9,47.5517
2020-02-18,54.94,58.13,54.84,56.89,70346387.0,56.89,47.2077
2020-02-14,55.19,55.4,54.56,55.31,52365370.0,55.31,46.87950000000001
2020-02-13,53.43,55.03,53.34,54.53,51640035.0,54.53,46.56350000000001
2020-02-12,54.53,54.85,53.53,53.89,45994933.0,53.89,46.26870000000001
2020-02-11,53.22,54.48,52.91,53.8,74719054.0,53.8,45.9809
2020-02-10,49.47,52.3,49.35,52.26,60971719.0,52.26,45.71550000000001
2020-02-07,48.91,50.665,48.635,49.73,53107582.0,49.73,45.51670000000001
2020-02-06,48.8,49.39,47.63,49.32,48670617.0,49.32,45.3133
2020-02-05,50.29,50.42,49.31,49.84,42737104.0,49.84,45.1069
2020-02-04,49.21,49.75,48.61,49.45,46302078.0,49.45,44.9375
2020-02-03,46.4,48.1,46.23,48.02,47076956.0,48.02,44.80290000000001
2020-01-31,48.4,48.58,46.79,47.0,60322431.0,47.0,44.660500000000006
2020-01-30,46.49,48.81,46.13,48.78,70460163.0,48.78,44.456100000000006
2020-01-29,47.84,48.07,46.1,47.51,112559197.0,47.51,44.27290000000001
2020-01-28,50.03,50.85,49.48,50.53,62343844.0,50.53,44.01270000000002
2020-01-27,48.45,49.79,47.9,49.26,48878578.0,49.26,43.7617
2020-01-24,52.2803,52.81,49.47,50.35,80004909.0,50.35,43.4809
2020-01-23,51.34,51.745,50.74,51.71,40135442.0,51.71,43.1725
2020-01-22,51.63,51.875,51.195,51.43,40772219.0,51.43,42.86950000000001
2020-01-21,50.96,51.81,50.7,51.05,48403014.0,51.05,42.5671
2020-01-17,50.2,51.05,49.9,50.93,57722501.0,50.93,42.2715
2020-01-16,49.17,50.31,48.99,49.77,58898926.0,49.77,42.0019
2020-01-15,48.23,49.08,48.12,48.545,40199943.0,48.545,41.7288
2020-01-14,48.64,49.035,47.91,48.21,38694180.0,48.21,41.4432
2020-01-13,48.66,48.86,48.24,48.745,33743618.0,48.745,41.1309
2020-01-10,49.26,49.29,48.0,48.165,44215594.0,48.165,40.8282
2020-01-09,48.94,49.96,48.39,48.97,76649637.0,48.97,40.5226
2020-01-08,47.85,48.3,47.14,47.83,53868957.0,47.83,40.2202
