date,open,high,low,close,volume,200 MA,50 MA
2020-04-24,21.0,22.7,21.0,22.7,2952.0,0.0,18.8063
2020-04-23,21.0,21.0,21.0,21.0,159.0,0.0,18.7803
2020-04-22,18.8,20.6,18.8,20.6,378.0,0.0,18.7563
2020-04-21,21.2,21.2,21.2,21.2,184.0,0.0,18.7203
2020-04-20,21.29,21.29,21.0,21.0,2394.0,0.0,18.6903
2020-04-17,20.75,21.32,20.75,21.32,668.0,0.0,18.6443
2020-04-16,20.1,20.1,20.0,20.0,705.0,0.0,18.6243
2020-04-15,19.75,21.0,19.75,20.1,3195.0,0.0,18.5823
2020-04-14,18.82,21.34,18.82,21.3,931.0,0.0,18.5163
2020-04-13,20.0,21.47,18.8,19.0,5008.0,0.0,18.4963
2020-04-09,19.0,19.0,19.0,19.0,229.0,0.0,18.4963
2020-04-08,18.995,19.0,18.995,19.0,600.0,0.0,18.4773
2020-04-07,19.98,19.98,19.0,19.0,1863.0,0.0,18.4573
2020-04-06,16.105,18.99,16.105,18.99,1202.0,0.0,18.4405
2020-04-03,18.745,18.745,18.745,18.745,667.0,0.0,18.4349
2020-04-02,16.0,16.0,16.0,16.0,79.0,0.0,18.4751
2020-04-01,16.0,16.0,16.0,16.0,366.0,0.0,18.5151
2020-03-31,18.98,18.98,18.78,18.78,449.0,0.0,18.491100000000007
2020-03-30,18.1,18.1,17.57,17.57,514.0,0.0,18.5201
2020-03-27,15.515,18.88,15.515,18.87,1902.0,0.0,18.5237
2020-03-26,16.02,16.02,16.02,16.02,499.0,0.0,18.6127
2020-03-25,19.48,19.48,16.0,16.0,757.0,0.0,18.6737
2020-03-24,16.25,16.5,16.0,16.0,1825.0,0.0,18.7337
2020-03-23,16.965,19.45,15.565,16.2,6725.0,0.0,18.8301
2020-03-20,16.25,19.47,14.2,14.2,531.0,0.0,18.973298
2020-03-19,17.5,17.5,17.5,17.5,305.0,0.0,18.998298
2020-03-18,16.0,16.75,16.0,16.75,627.0,0.0,19.052298
2020-03-17,16.76,16.76,16.75,16.75,321.0,0.0,19.089298
2020-03-16,19.5,19.5,16.0,17.0,827.0,0.0,19.149298
2020-03-13,17.0,17.0,16.8,16.99,449.0,0.0,19.223898000000002
2020-03-12,14.26,18.58,12.32,14.2,2543.0,0.0,19.319898
2020-03-11,18.0,18.0,16.05,16.05,2841.0,0.0,19.368898
2020-03-10,18.42,18.42,17.85,17.85,2300.0,0.0,19.382898
2020-03-09,19.2,19.2,17.86,17.86,985.0,0.0,19.405698
2020-03-06,19.25,19.25,19.2,19.2,572.0,0.0,19.431698
2020-03-05,19.48,19.48,19.48,19.48,162.0,0.0,19.454498
2020-03-04,19.495,19.495,18.55,19.49,760.0,0.0,19.365098
2020-03-03,19.55,19.55,19.55,19.55,291.0,0.0,19.382298000000002
2020-03-02,17.85,17.85,17.85,17.85,569.0,0.0,19.365298000000006
2020-02-28,19.62,20.79,17.75,17.75,3342.0,0.0,19.350298
2020-02-27,20.0,21.25,19.62,20.83,2488.0,0.0,19.273698
